"Rank/","Course","Move"
"1","Nanea","No change"
"2","Kapalua (Plantation)","No change"
"3","Princeville (Prince)","No change"
"4","Mauna Kea","No change"
"5","Manele","No change"
"6","Kuki'o","No change"
"7","Hokuli'a","No change"
"8","Kohanaiki","Up 1"
"9","Kukui'ula","Down 1"
"10","Hualalai (Ke’olu)","No change"
"11","Poipu Bay","Up 1"
"12","Waialae","Down 1"
"13","Hualalai (Hualâlai)","Up 3"
"14","Wailea (Gold)","Up 4"
"15","Makena","New entry"
"16","Wailea (Emerald)","Up 4"
"17","Hoakalei","Down 4"
"18","Mauna Lani (North)","Up 3"
"19","King Kamehameha","Down 5"
"20","Turtle Bay (Palmer)","Down 5"
"21","Princeville (Makai)","Down 4"
"22","Hokuala (Ocean)","New entry"
"23","Waikoloa Beach (King's)","Up 2"
"24","Mauna Lani (South)","No change"
"25","Kapalua (Bay)","Up 1"
"26","Ko'olau","Down 4"
"27","Puakea","Up 2"
"28","Kapolei","New entry"
"29","Ko Olina","Down 2"
"30","Ka‘anapali (Royal Ka‘anapali)","Down 2"
